Кол-во пар при автоматическом: 147
Таблица для автоматического шага:
+------------+-----------------------+-----------------------+----------------------------+
|    X_k     |    Y(X_k) (точное)    |    Y_k (численное)    | Y(X_k) - Y_k (погрешность) |
|   0.1875   |  -0.19004954351863562 |  -0.18754614922580568 |   -0.002503394292829947    |
| 0.1953125  |  -0.20006403417009047 |  -0.19536911459329978 |    -0.00469491957679069    |
|  0.203125  |  -0.2100817350274453  |  -0.20319389884967473 |   -0.006887836177770557    |
| 0.2109375  |  -0.2201031532124871  |  -0.21102072980471076 |   -0.009082423407776347    |
|  0.21875   |  -0.2201031532124871  |  -0.21884985367513318 |   -0.0012532995373539246   |
| 0.2265625  |  -0.23012884708004333 |  -0.22668153583737477 |   -0.0034473112426685604   |
|  0.234375  |  -0.24015942883631863 |  -0.23451606158906768 |   -0.005643367247250952    |
| 0.2421875  |  -0.2501955672010781  |  -0.2423537369202936  |    -0.0078418302807845     |
|    0.25    |  -0.2501955672010781  |  -0.25019488929570327 |   -6.779053748351416e-07   |
| 0.2578125  |  -0.2602379901200915  |   -0.258039868448703  |   -0.0021981216713884977   |
|  0.265625  |  -0.27028748753489523 |  -0.26588904718899814 |   -0.004398440345897092    |
| 0.2734375  |  -0.2803449142176139  |  -0.27374282222487845 |   -0.0066020919927354815   |
|  0.28125   |  -0.2904111926793196  |   -0.281601615001734  |   -0.008809577677585612    |
| 0.2890625  |  -0.2904111926793196  |  -0.28946587255839556 |   -0.0009453201209240203   |
|  0.296875  |  -0.30048731616119245 |  -0.2973360684030088  |   -0.0031512477581836507   |
| 0.3046875  |  -0.31057435171859393 |  -0.30521270341027007 |   -0.005361648308323863    |
|   0.3125   |  -0.3206734434090716  |  -0.31309630674197997 |   -0.007577136667091644    |
| 0.3203125  |  -0.33078581559629594 |  -0.3209874367930044  |   -0.009798378803291541    |
|  0.328125  |  -0.33078581559629594 |  -0.3288866821648769  |   -0.0018991334314190644   |
| 0.3359375  |  -0.3409127763829862  |  -0.33679466266942676 |   -0.004118113713559468    |
|  0.34375   |  -0.3510557211870276  |  -0.34471203036498044 |   -0.0063436908220471655   |
| 0.3515625  |  -0.36121613647622186 |  -0.35263947062785406 |   -0.008576665848367804    |
|  0.359375  |  -0.36121613647622186 |  -0.36057770326204025 |   -0.0006384332141816107   |
| 0.3671875  |  -0.37139560367846064 |  -0.36852748365018717 |   -0.0028681200282734687   |
|   0.375    |  -0.3815958032855787  |  -0.3764896039491783  |   -0.0051061993364003855   |
| 0.3828125  |  -0.39181851917074295 |  -0.3844648943338448  |   -0.007353624836898165    |
|  0.390625  |  -0.4020656431409841  |  -0.39245422429258464 |   -0.009611418848399444    |
| 0.3984375  |  -0.4020656431409841  |  -0.40045850397891924 |   -0.0016071391620648412   |
|  0.40625   |  -0.4123391797483931  |  -0.40847868562329753 |   -0.0038604941250955926   |
| 0.4140625  |  -0.42264125138561065 |  -0.41651576500975573 |   -0.006125486375854916    |
|  0.421875  |  -0.4329741036935513  |  -0.4245707830223632  |   -0.008403320671188153    |
| 0.4296875  |  -0.4329741036935513  |  -0.43264482726673253 |   -0.000329276426818792    |
|   0.4375   |  -0.44334011131185813 |  -0.4407390337722479  |   -0.0026010775396102526   |
| 0.4453125  |  -0.4537417840054005  |  -0.4488545887810704  |   -0.004887195224330121    |
|  0.453125  |  -0.4641817732032497  |  -0.4569927306304213  |    -0.00718904257282843    |
| 0.4609375  |  -0.4746628789900242  |  -0.46515475173511855 |    -0.00950812725490563    |
|  0.46875   |  -0.4746628789900242  |  -0.4733420006778603  |   -0.0013208783121638756   |
| 0.4765625  |  -0.4851880575933403  |  -0.4815558844153116  |   -0.003632173178028719    |
|  0.484375  |  -0.4957604294153801  |  -0.48979787060866153 |   -0.0059625588067185875   |
| 0.4921875  |  -0.5063832876613545  |  -0.49806949008798357 |   -0.008313797573370973    |
|    0.5     |  -0.5063832876613545  |  -0.5063723394604588  |   -1.09482008957551e-05    |
| 0.5078125  |  -0.5170601076229666  |  -0.5147080838733125  |   -0.002352023749654153    |
|  0.515625  |  -0.5277945566809357  |  -0.5230784599431807  |   -0.004716096737754971    |
| 0.5234375  |  -0.5385905050973213  |  -0.5314852788645701  |   -0.007105226232751227    |
|  0.53125   |  -0.5494520376758835  |  -0.5399304297111084  |    -0.00952160796477508    |
| 0.5390625  |  -0.5494520376758835  |  -0.5484158829444215  |   -0.0010361547314620134   |
|  0.546875  |  -0.5603834663771486  |   -0.556943694146716  |   -0.0034397722304326805   |
| 0.5546875  |  -0.5713893439843545  |   -0.565516007994517  |   -0.005873335989837525    |
|   0.5625   |  -0.5824744789271732  |  -0.5741350624925132  |   -0.008339416434659963    |
| 0.5703125  |  -0.5936439513822456  |  -0.5828031934881205  |   -0.010840757894125086    |
|  0.578125  |  -0.5936439513822456  |  -0.5915228394891981  |   -0.0021211118930474226   |
| 0.5859375  |  -0.6049031307833049  |   -0.600296546809369  |   -0.004606583973935985    |
|  0.59375   |  -0.6162576948892725  |  -0.6091269750676164  |    -0.00713071982165614    |
| 0.6015625  |  -0.6277136505764589  |  -0.6180169030712963  |   -0.009696747505162584    |
|  0.609375  |  -0.6277136505764589  |  -0.6269692351144224  |   -0.0007444154620365184   |
| 0.6171875  |  -0.6392773565412306  |  -0.6359870077261074  |   -0.003290348815123245    |
|   0.625    |  -0.6509555481226054  |   -0.645073396907397  |   -0.005882151215208409    |
| 0.6328125  |  -0.6627553644806747  |  -0.6542317258984574  |   -0.008523638582217385    |
|  0.640625  |  -0.6746843783970772  |  -0.6634654735222307  |   -0.011218904874846447    |
| 0.6484375  |  -0.6746843783970772  |  -0.6727782831552935  |   -0.0019060952417836452   |
|  0.65625   |  -0.6867506289985957  |  -0.6821739723818154  |   -0.004576656616780306    |
| 0.6640625  |  -0.6989626577451122  |  -0.6916565433922836  |   -0.007306114352828685    |
|  0.671875  |   -0.711329548069524  |  -0.7012301941951138  |   -0.010099353874410189    |
| 0.6796875  |   -0.711329548069524  |  -0.7108993307165059  |  -0.00043021735301806974   |
|   0.6875   |  -0.7238609691109176  |  -0.7206685798720274  |   -0.003192389238890203    |
| 0.6953125  |  -0.7365672240446112  |  -0.7305428037025447  |   -0.0060244203420665166   |
|  0.703125  |  -0.7494593035851944  |  -0.7405271146774126  |   -0.008932188907781802    |
| 0.7109375  |  -0.7625489453233215  |  -0.7506268922794427  |   -0.011922053043878833    |
|  0.71875   |  -0.7625489453233215  |   -0.760847800999292  |   -0.0017011443240295687   |
| 0.7265625  |  -0.7758486996560453  |  -0.7711958098817706  |   -0.004652889774274693    |
|  0.734375  |   -0.789372003186719  |  -0.7816772137834153  |   -0.007694789403303703    |
| 0.7421875  |  -0.8031332606073361  |  -0.7922986565198237  |   -0.010834604087512467    |
|    0.75    |  -0.8031332606073361  |  -0.8030671561030495  |   -6.610450428667924e-05   |
| 0.7578125  |  -0.8171479362378107  |  -0.8139901322942273  |   -0.003157803943583337    |
|  0.765625  |  -0.8314326565882219  |  -0.8250754367250385  |   -0.006357219863183383    |
| 0.7734375  |  -0.8460053255377972  |  -0.8363313858742046  |   -0.009673939663592535    |
|  0.78125   |  -0.8608852539961902  |  -0.8477667972226102  |   -0.013118456773580034    |
| 0.7890625  |  -0.8608852539961902  |  -0.8593910289537033  |   -0.001494225042486863    |
|  0.796875  |  -0.8760933062381763  |  -0.8712140236154944  |   -0.004879282622681891    |
| 0.8046875  |  -0.8916520654944031  |  -0.8832463562178977  |   -0.008405709276505413    |
|   0.8125   |  -0.9075860218535924  |  -0.8954992873057502  |   -0.012086734547842148    |
| 0.8203125  |  -0.9239217861048924  |  -0.9079848216252243  |    -0.01593696447966808    |
|  0.828125  |  -0.9239217861048924  |  -0.9207157730915574  |   -0.0032060130133350073   |
| 0.8359375  |  -0.9406883338474487  |  -0.9337058368714409  |   -0.006982496976007724    |
|  0.84375   |  -0.9579172850489663  |  -0.9469696695169897  |   -0.010947615531976651    |
| 0.8515625  |   -0.975643225286259  |   -0.960522978233508  |   -0.015120247052751057    |
|  0.859375  |   -0.975643225286259  |  -0.9743826205346402  |   -0.0012606047516188212   |
| 0.86328125 |  -0.9939040762004008  |  -0.9814341417493754  |    -0.0124699344510254     |
| 0.8671875  |  -0.9939040762004008  |   -0.988569184916056  |   -0.005334891284344723    |
| 0.87109375 |  -1.0127415243145956  |  -0.9957902341808627  |   -0.016951290133732977    |
|   0.875    |  -1.0127415243145956  |  -1.0030998690953452  |   -0.009641655219250422    |
| 0.87890625 |  -1.0127415243145956  |  -1.0105007694123656  |    -0.00224075490223008    |
| 0.8828125  |  -1.0322015193825622  |  -1.0179957201805696  |   -0.014205799201992608    |
| 0.88671875 |  -1.0322015193825622  |  -1.0255876171595741  |   -0.006613902222988077    |
|  0.890625  |  -1.0523348559755403  |  -1.0332794725799783  |    -0.01905538339556201    |
| 0.89453125 |  -1.0523348559755403  |  -1.0410744212744232  |    -0.01126043470111715    |
| 0.8984375  |  -1.0523348559755403  |  -1.0489757272082532  |   -0.0033591287672871672   |
| 0.90234375 |  -1.0731978552316284  |  -1.0569867904408965  |   -0.016211064790731866    |
|  0.90625   |  -1.0731978552316284  |  -1.0651111545519125  |   -0.008086700679715841    |
| 0.91015625 |   -1.094853167789131  |  -1.0733525145687786  |    -0.02150065322035255    |
| 0.9140625  |   -1.094853167789131  |  -1.0817147254369424  |    -0.01313844235218875    |
| 0.91796875 |   -1.094853167789131  |  -1.0902018110764915  |   -0.004651356712639609    |
|  0.921875  |  -1.1173707241855628  |  -1.0988179740740298  |   -0.018552750111533012    |
| 0.92578125 |  -1.1173707241855628  |  -1.1075676060630508  |     -0.009803118122512     |
| 0.9296875  |  -1.1173707241855628  |  -1.1164552988513288  |   -0.0009154253342340546   |
| 0.93359375 |  -1.1408288658068177  |  -1.1254858563596555  |    -0.01534300944716227    |
|   0.9375   |  -1.1408288658068177  |  -1.1346643074427363  |   -0.006164558364081474    |
| 0.94140625 |  -1.1653156983406523  |   -1.143995919670276  |   -0.021319778670376266    |
| 0.9453125  |  -1.1653156983406523  |  -1.1534862141543667  |    -0.0118294841862856     |
| 0.94921875 |  -1.1653156983406523  |  -1.1631409815183182  |   -0.002174716822334055    |
|  0.953125  |  -1.1909307213527558  |  -1.1729662991121979  |   -0.017964422240557942    |
| 0.95703125 |  -1.1909307213527558  |   -1.182968549591701  |   -0.007962171761054737    |
| 0.9609375  |  -1.2177868030841326  |  -1.1931544409897528  |    -0.0246323620943798     |
| 0.96484375 |  -1.2177868030841326  |  -1.2035310284246081  |   -0.014255774659524434    |
|  0.96875   |  -1.2177868030841326  |   -1.214105737604445  |   -0.0036810654796874953   |
| 0.97265625 |  -1.2460125903166175  |   -1.224886390306756  |    -0.02112620000986154    |
| 0.9765625  |  -1.2460125903166175  |  -1.2358812320315804  |   -0.010131358285037084    |
| 0.98046875 |  -1.2757554712558463  |   -1.247098962051132  |    -0.02865650920471441    |
|  0.984375  |  -1.2757554712558463  |  -1.2585487661050756  |   -0.017206705150770718    |
| 0.98828125 |  -1.2757554712558463  |   -1.270240352021109  |   -0.0055151192347373534   |
| 0.9921875  |  -1.3071852478781207  |  -1.2821839885751685  |   -0.025001259302952272    |
| 0.99609375 |  -1.3071852478781207  |   -1.294390547945196  |   -0.012794699932924702    |
|    1.0     |  -1.3071852478781207  |  -1.3068715521577783  |   -0.0003136957203424551   |
+------------+-----------------------+-----------------------+----------------------------+
Таблица для фиксированного шага (h = 0.006802721088435374):
+----------------------+-----------------------+-----------------------+----------------------------+
|         X_k          |    Y(X_k) (точное)    |    Y_k (численное)    | Y(X_k) - Y_k (погрешность) |
+----------------------+-----------------------+-----------------------+----------------------------+
|         0.0          |          0.0          |          0.0          |            0.0             |
| 0.006802721088435374 | -0.010000000020833335 | -0.006802721090256429 |   -0.003197278930576906    |
| 0.013605442176870748 | -0.020000000641666703 | -0.013605442259425293 |    -0.00639455838224141    |
| 0.02040816326530612  | -0.030000004862501307 | -0.020408163929991657 |    -0.00959184093250965    |
| 0.027210884353741496 | -0.030000004862501307 | -0.027210887216442294 |   -0.0027891176460590125   |
| 0.03401360544217687  |  -0.04000002048335078 | -0.034013614274910155 |   -0.0059864062084406255   |
| 0.04081632653061224  | -0.050000062504296776 |  -0.04081634865282268 |   -0.009183713851474096    |
| 0.047619047619047616 | -0.050000062504296776 |  -0.04761909563855879 |   -0.0023809668657379865   |
| 0.05442176870748299  |  -0.0600001555256716  |  -0.05442186261112228 |   -0.005578292914549324    |
| 0.061224489795918366 |  -0.07000033614852308 |  -0.06122465938984319 |   -0.008775676758679886    |
| 0.06802721088435373  |  -0.07000033614852308 |  -0.0680274985841232  |   -0.001972837564399879    |
|  0.0748299319727891  |  -0.08000065537561366 |  -0.07483039594324628 |   -0.0051702594323673745   |
| 0.08163265306122447  |  -0.0900011810133269  |  -0.08163337070628211 |   -0.008367810307044782    |
| 0.08843537414965984  |  -0.0900011810133269  |  -0.0884364459521162  |   -0.0015647350612107008   |
|  0.0952380952380952  |  -0.10000200007499951 |  -0.09523964894964844 |   -0.004762351125351075    |
| 0.10204081632653057  |  -0.11000322118636699 |  -0.10204301150821014 |   -0.007960209678156846    |
| 0.10884353741496594  |  -0.11000322118636699 |  -0.1088465703282584  |   -0.0011566508581085932   |
| 0.11564625850340131  |  -0.12000497699400454 |  -0.11565036735241671 |   -0.004354609641587834    |
| 0.12244897959183668  |  -0.13000742657786396 |  -0.12245445011694137 |   -0.007552976460922595    |
| 0.12925170068027206  |  -0.13000742657786396 |  -0.1292588721037043  |   -0.0007485544741596684   |
| 0.13605442176870744  |  -0.14001075786925002 |  -0.13606369309279542 |   -0.003947064776454595    |
| 0.14285714285714282  |  -0.15001519007584854 |  -0.1428689795158604  |   -0.007146210559988153    |
|  0.1496598639455782  |  -0.15001519007584854 |  -0.1496748048103032  |   -0.0003403852655453343   |
| 0.15646258503401358  |  -0.1600209761157115  |  -0.1564812497744982  |   -0.0035397263412133007   |
| 0.16326530612244897  |  -0.17002840506242473 |  -0.16328840292417054 |   -0.006740002138254181    |
| 0.17006802721088435  |  -0.18003780460402855 |  -0.1700963608501213  |   -0.009941443753907236    |
| 0.17687074829931973  |  -0.18003780460402855 |  -0.17690522857748944 |   -0.0031325760265391023   |
|  0.1836734693877551  |  -0.19004954351863562 |  -0.18371511992676184 |   -0.006334423591873778    |
|  0.1904761904761905  |  -0.20006403417009047 |  -0.19052615787676028 |   -0.009537876293330194    |
| 0.19727891156462588  |  -0.20006403417009047 |  -0.19733847492985487 |   -0.0027255592402355977   |
| 0.20408163265306126  |  -0.2100817350274453  |  -0.20415221347967363 |   -0.0059295215477716545   |
| 0.21088435374149664  |  -0.2201031532124871  |  -0.2109675261815992  |    -0.00913562703088791    |
| 0.21768707482993202  |  -0.2201031532124871  |  -0.2177845763263672  |   -0.0023185768861199163   |
|  0.2244897959183674  |  -0.23012884708004333 |  -0.2246035382171035  |   -0.005525308862939837    |
| 0.23129251700680278  |  -0.24015942883631863 |  -0.2314245975501627  |    -0.00873483128615593    |
| 0.23809523809523817  |  -0.24015942883631863 |  -0.2382479518001563  |   -0.0019114770361623457   |
| 0.24489795918367355  |  -0.2501955672010781  |  -0.2450738106095854  |   -0.005121756591492693    |
|  0.2517006802721089  |  -0.2602379901200915  |  -0.2519023961835221  |   -0.008335593936569408    |
|  0.2585034013605443  |  -0.2602379901200915  |  -0.25873394368981206 |   -0.0015040464302794598   |
| 0.26530612244897966  |  -0.27028748753489523 |  -0.26556870166530283 |   -0.004718785869592401    |
| 0.27210884353741505  |  -0.2803449142176139  |  -0.2724069324286348  |   -0.007937981788979143    |
|  0.2789115646258504  |  -0.2803449142176139  |  -0.27924891250016465 |   -0.0010960017174492798   |
|  0.2857142857142858  |  -0.2904111926793196  |  -0.2860949330296284  |   -0.004316259649691179    |
|  0.2925170068027212  |  -0.30048731616119245 |  -0.29294530023218734 |   -0.007542015929005108    |
|  0.2993197278911566  |  -0.30048731616119245 |  -0.2998003358335399  |   -0.0006869803276525754   |
| 0.30612244897959195  |  -0.31057435171859393 |  -0.3066603775248239  |   -0.003913974193770042    |
| 0.31292517006802734  |  -0.3206734434090716  |  -0.3135257794280769  |   -0.007147663980994701    |
|  0.3197278911564627  |  -0.3206734434090716  |  -0.3203969125730676  |   -0.0002765308360039853   |
|  0.3265306122448981  |  -0.33078581559629594 |  -0.3272741653863603  |   -0.0035116502099356572   |
|  0.3333333333333335  |  -0.3409127763829862  |  -0.33415794419352407 |   -0.006754832189462157    |
| 0.34013605442176886  |  -0.3510557211870276  |  -0.34104867373545367 |   -0.010007047451573936    |
| 0.34693877551020424  |  -0.3510557211870276  |  -0.34794679769982295 |   -0.003108923487204651    |
|  0.3537414965986396  |  -0.36121613647622186 |  -0.3548527792687543  |   -0.006363357207467557    |
|  0.360544217687075   |  -0.37139560367846064 |  -0.3617671016838492  |    -0.00962850199461146    |
|  0.3673469387755104  |  -0.37139560367846064 |  -0.3686902688297927  |   -0.0027053348486679174   |
| 0.37414965986394577  |  -0.3815958032855787  |  -0.37562280583781643 |   -0.005972997447762252    |
| 0.38095238095238115  |  -0.39181851917074295 |  -0.38256525971037814 |   -0.009253259460364816    |
| 0.38775510204081653  |  -0.39181851917074295 |  -0.38951819996849996 |   -0.0023003192022429952   |
|  0.3945578231292519  |  -0.4020656431409841  |  -0.3964822193232887  |   -0.005583423817695388    |
|  0.4013605442176873  |  -0.4123391797483931  |  -0.40345793437325633 |   -0.008881245375136793    |
|  0.4081632653061227  |  -0.4123391797483931  |   -0.410445986329153  |   -0.0018931934192401023   |
| 0.41496598639455806  |  -0.42264125138561065 |  -0.4174470417681305  |   -0.005194209617480128    |
| 0.42176870748299344  |  -0.4329741036935513  |  -0.4244617934191632  |   -0.008512310274388146    |
|  0.4285714285714288  |  -0.4329741036935513  |  -0.4314909609817726  |    -0.00148314271177874    |
|  0.4353741496598642  |  -0.44334011131185813 |  -0.43853529198022806 |   -0.0048048193316300725   |
|  0.4421768707482996  |  -0.4537417840054005  |  -0.4455955626555307  |   -0.008146221349869809    |
| 0.44897959183673497  |  -0.4537417840054005  |  -0.45267257889763357 |   -0.001069205107766924    |
| 0.45578231292517035  |  -0.4641817732032497  |  -0.45976717722050703 |   -0.004414595982742686    |
| 0.46258503401360573  |  -0.4746628789900242  |  -0.4668802257828243  |   -0.007782653207199897    |
|  0.4693877551020411  |  -0.4746628789900242  |  -0.47401262545722267 |   -0.0006502535328015147   |
|  0.4761904761904765  |  -0.4851880575933403  |   -0.481165310951289  |   -0.0040227466420513225   |
|  0.4829931972789119  |  -0.4957604294153801  |  -0.48833925198362527 |   -0.007421177431754855    |
| 0.48979591836734726  |  -0.4957604294153801  |  -0.49553545451857517 |  -0.00022497489680495253   |
| 0.49659863945578264  |  -0.5063832876613545  |   -0.502754962063433  |   -0.003628325597921589    |
|  0.503401360544218   |  -0.5170601076229666  |  -0.5099988570322167  |   -0.007061250590749912    |
|  0.5102040816326534  |  -0.5277945566809357  |  -0.5172682621803708  |   -0.010526294500564859    |
|  0.5170068027210888  |  -0.5277945566809357  |  -0.5245643421150639  |   -0.003230214565871803    |
|  0.5238095238095242  |  -0.5385905050973213  |  -0.5318883048860805  |   -0.006702200211240794    |
|  0.5306122448979596  |  -0.5494520376758835  |  -0.5392414036626583  |   -0.010210634013225195    |
|  0.5374149659863949  |  -0.5494520376758835  |  -0.5466249385020101  |   -0.0028270991738733597   |
|  0.5442176870748303  |  -0.5603834663771486  |  -0.5540402582156879  |   -0.006343208161460723    |
|  0.5510204081632657  |  -0.5713893439843545  |  -0.5614887623403999  |   -0.009900581643954576    |
|  0.5578231292517011  |  -0.5713893439843545  |  -0.5689719032203847  |   -0.0024174407639697693   |
|  0.5646258503401365  |  -0.5824744789271732  |  -0.5764911882089835  |   -0.005983290718189704    |
|  0.5714285714285718  |  -0.5936439513822456  |  -0.5840481819976341  |   -0.009595769384611486    |
|  0.5782312925170072  |  -0.5936439513822456  |  -0.5916445090811452  |   -0.001999442301100385    |
|  0.5850340136054426  |  -0.6049031307833049  |   -0.599281856368803  |   -0.005621274414501887    |
|  0.591836734693878   |  -0.6162576948892725  |   -0.606961975951616  |    -0.00929571893765646    |
|  0.5986394557823134  |  -0.6162576948892725  |  -0.6146866880368298  |   -0.0015710068524427134   |
|  0.6054421768707487  |  -0.6277136505764589  |  -0.6224578840617431  |   -0.005255766514715821    |
|  0.6122448979591841  |  -0.6392773565412306  |  -0.6302775299998457  |   -0.008999826541384981    |
|  0.6190476190476195  |  -0.6392773565412306  |   -0.638147669873373  |   -0.0011296866678576212   |
|  0.6258503401360549  |  -0.6509555481226054  |  -0.6460704294875611  |   -0.004885118635044261    |
|  0.6326530612244903  |  -0.6627553644806747  |  -0.6540480204031796  |   -0.008707344077495183    |
|  0.6394557823129257  |  -0.6627553644806747  |  -0.6620827441653471  |   -0.0006726203153276655   |
|  0.646258503401361   |  -0.6746843783970772  |  -0.6701769968082032  |   -0.004507381588873982    |
|  0.6530612244897964  |  -0.6867506289985957  |   -0.678333273656731  |   -0.008417355341864718    |
|  0.6598639455782318  |  -0.6867506289985957  |  -0.6865541744489305  |   -0.0001964545496652148   |
|  0.6666666666666672  |  -0.6989626577451122  |  -0.6948424088036336  |   -0.004120248941478666    |
|  0.6734693877551026  |   -0.711329548069524  |  -0.7032008020615705  |   -0.008128746007953436    |
|  0.680272108843538   |  -0.7238609691109176  |  -0.7116323015298541  |   -0.012228667581063446    |
|  0.6870748299319733  |  -0.7238609691109176  |  -0.7201399831628784  |   -0.003720985948039157    |
|  0.6938775510204087  |  -0.7365672240446112  |  -0.7287270587157713  |    -0.00784016532883991    |
|  0.7006802721088441  |  -0.7494593035851944  |  -0.7373968834100173  |   -0.012062420175177113    |
|  0.7074829931972795  |  -0.7494593035851944  |  -0.7461529641547399  |   -0.0033063394304545524   |
|  0.7142857142857149  |  -0.7625489453233215  |  -0.7549989683714311  |   -0.007549976951890414    |
|  0.7210884353741502  |  -0.7758486996560453  |  -0.7639387334747147  |   -0.011909966181330556    |
|  0.7278911564625856  |  -0.7758486996560453  |  -0.7729762770670718  |   -0.0028724225889734667   |
|  0.734693877551021   |   -0.789372003186719  |  -0.7821158079114319  |   -0.007256195275287092    |
|  0.7414965986394564  |  -0.8031332606073361  |  -0.7913617377522145  |   -0.011771522855121619    |
|  0.7482993197278918  |  -0.8031332606073361  |  -0.8007186940628905  |   -0.0024145665444456066   |
|  0.7551020408163271  |  -0.8171479362378107  |  -0.8101915338065299  |   -0.006956402431280817    |
|  0.7619047619047625  |  -0.8314326565882219  |  -0.8197853583052434  |   -0.011647298282978502    |
|  0.7687074829931979  |  -0.8314326565882219  |  -0.8295055293250492  |   -0.0019271272631726788   |
|  0.7755102040816333  |  -0.8460053255377972  |  -0.8393576864946732  |   -0.006647639043123932    |
|  0.7823129251700687  |  -0.8608852539961902  |  -0.8493477661903236  |   -0.011537487805866609    |
|  0.789115646258504   |  -0.8608852539961902  |  -0.8594820220337864  |   -0.0014032319624037726   |
|  0.7959183673469394  |  -0.8760933062381763  |  -0.8697670471685437  |   -0.006326259069632578    |
|  0.8027210884353748  |  -0.8916520654944031  |  -0.8802097984983176  |   -0.011442266996085526    |
|  0.8095238095238102  |  -0.8916520654944031  |  -0.8908176230948684  |   -0.0008344423995346739   |
|  0.8163265306122456  |  -0.9075860218535924  |  -0.9015982870074353  |   -0.005987734846157111    |
|  0.823129251700681   |  -0.9239217861048924  |  -0.9125600067354109  |   -0.011361779369481462    |
|  0.8299319727891163  |  -0.9239217861048924  |   -0.923711483659278  |  -0.00021030244561437428   |
|  0.8367346938775517  |  -0.9406883338474487  |   -0.935061941763192  |   -0.005626392084256637    |
|  0.8435374149659871  |  -0.9579172850489663  |  -0.9466211690267108  |   -0.011296116022255553    |
|  0.8503401360544225  |   -0.975643225286259  |  -0.9583995629140164  |    -0.01724366237224262    |
|  0.8571428571428579  |   -0.975643225286259  |  -0.9704081804477254  |   -0.005235044838533653    |
|  0.8639455782312933  |  -0.9939040762004008  |  -0.9826587934224356  |   -0.011245282777965215    |
|  0.8707482993197286  |  -1.0127415243145956  |  -0.9951639493921879  |   -0.017577574922407746    |
|  0.877551020408164   |  -1.0127415243145956  |  -1.0079370391580467  |   -0.0048044851565489655   |
|  0.8843537414965994  |  -1.0322015193825622  |  -1.0209923715894633  |   -0.011209147793098895    |
|  0.8911564625850348  |  -1.0523348559755403  |  -1.0343452567389226  |   -0.017989599236617693    |
|  0.8979591836734702  |  -1.0523348559755403  |  -1.0480120983571837  |   -0.004322757618356654    |
|  0.9047619047619055  |  -1.0731978552316284  |  -1.0620104970905695  |   -0.011187358141058867    |
|  0.9115646258503409  |   -1.094853167789131  |  -1.0763593658476167  |    -0.0184938019415144     |
|  0.9183673469387763  |   -1.094853167789131  |  -1.0910790590665302  |   -0.0037741087226008663   |
|  0.9251700680272117  |  -1.1173707241855628  |  -1.1061915179054667  |   -0.011179206280096166    |
|  0.9319727891156471  |  -1.1408288658068177  |   -1.121720433724755  |    -0.0191084320820627     |
|  0.9387755102040825  |  -1.1408288658068177  |  -1.1376914326463605  |   -0.003137433160457226    |
|  0.9455782312925178  |  -1.1653156983406523  |  -1.1541322844769173  |   -0.011183413863735003    |
|  0.9523809523809532  |  -1.1909307213527558  |  -1.1710731398863299  |    -0.01985758146642591    |
